,hash_id,code,kind,repeat,desc,narrative,flag_include_1,flag_air_transit
780,ed2ddb7aecf170a5,3.13(c),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"The food and water certificate attached to the top of the primary enclosure was not completed for a 6 year old dog
shipped from LAX to PHL (see waybill 016-LAX 48070186). Carriers and intermediate handlers must not accept a
dog or cat for transport in commerce unless the consignor certifies in writing to the carrier or intermediate handler
that the dog or cat was offered food and water during the 4 hours before delivery to the carrier or intermediate
handler. The certification must include the time and date the animal was last fed and watered and the specific
instructions for the next feeding(s) and watering(s) for a 24-hour period. Failure to complete the food and water
certificate could affect the heath and well-being of the animal being transported. Carriers and intermediate handlers
must not accept a dog or cat for transport unless the food and water certificate is completed and attached to the
outside of the primary enclosure.
An exit interview was conducted with airline representative.",True,True
783,9d25b9717f3c0984,2.125,,False,"INFORMATION AS TO BUSINESS; FURNISHING OF SAME BY DEALERS, EXHIBITORS, OPERATORS OF AUCTION SALES, INTERMEDIATE HANDLERS, AND CARRIERS.","The United Airline representatives at Honolulu International Airport were asked repeatedly for records regarding the
escape of a cat in their care. Initially there was an on-site visit at HNL on 9-19-15 regarding this incident, followed by
email correspondence and five phone conversations. During these interactions the registrant's representatives were
asked to provide an account of what occurred when the cat escaped, what corrective actions have been taken, and
any records related to the incident. Despite these repeated attempts, no information was provided to APHIS, as of
10/9/15.
The registrant is required to furnish information to any APHIS official upon request. The information should be
provided in a timely manner. Failure to cooperate with APHIS regarding animal handling could impede APHIS's
ability to evaluate whether the welfare of the animals is being adequately addressed, and whether handling is in
compliance with AWA regulations.
To be corrected from this time forward.",True,True
784,9d25b9717f3c0984,3.19(b),,False,HANDLING.,"In approximately January, 2014, a cat named ""Bogie"" escaped from its kennel while under the care of United
Airlines Cargo personnel at the Honolulu International Airport.
After the cat was recovered, a United spokesperson issued the following statement to the press:
""Our agents were working to secure the door of the kennel with plastic ties to ensure Bogie(cid:25)'s safety throughout the
flight. However, during this process the cat escaped from his kennel...""
The cat was missing for approximately 19 months, and was then recovered near the airport, and returned to his
owners.
During transit, animals should be handled in a manner that protects their well-being and minimizes distress. Steps
should be taken to ensure that personnel are adequately trained and protocols are in effect to prevent any similar
incidents.
To be corrected from this time forward.
An exit briefing was given over the phone.",True,True
786,277b4182b88c2931,3.136(b),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"On February 25, 2016 United Airlines accepted for transportation four young sugar gliders housed in four individual
primary enclosures. The four enclosures had tape applied to the exterior that sealed all ventilation openings on the
enclosures. Removal of the externally applied tape on one enclosure revealed the openings had also been sealed
with a layer of tape applied to the inside of the enclosure.
Carriers and intermediate handlers must only accept for transportation any live animal in a primary enclosure which
conforms to the requirements of 3.137: when there are ventilation openings located on all four walls of the primary
enclosure the ventilation openings on each wall shall be at least 8 percent of the total surface area of each wall.
By sealing the openings on all four sides of the enclosures the animals were essentially provided with no openings
for ventilation. Insufficient ventilation during transportation will compromise animal well being by restricting oxygen
and could result in death of the animal. Animals must not be accepted for transportation when housed in primary
enclosures that do not meet requirements for adequate ventilation under the Animal Welfare Act.
Correct by: Immediate.
The inspection and exit interview were conducted with United representatives at IAH.",True,True
787,e57cee01ed365b68,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"Two cats were traveling together on United Airlines waybill #016-47703224 en route to Honolulu. According to the
shipper's declaration attached to the top of the two carriers, the cats were last offered food and water at 4 AM EST,
and the owner signed the declaration at 5 AM EST. The cats were on the following itinerary:
- UA Flight # 4959 - Binghamton NY to Newark NJ
- UA Flight # 0637 - Newark NJ to San Francisco, CA
- UA Flight # - 0073 - San Francisco CA to Honolulu, HI
The cats were observed at the SFO United Cargo office at 3:40 PM PST, where they were awaiting their final flight.
Each carrier had a bag of cat food attached, but these bags were unopened. The shipper had failed to complete the
owner's declaration form regarding feeding at watering instructions.
Failure to ensure that the shipper provides certification in writing regarding feeding and watering instructions at the
time of accepting a dog or cat for shipment can put the animal at risk. The airline must ensure that the owner has
provided this information in writing, and that animals are adequately cared for while in transit.
To be corrected from this time forward.",True,True
793,3ec6729806233f0d,3.13(c)(3),,True,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"A juvenile dog was arriving from Ontario, CA on United Airlines waybill # 016-ONT-30844516 en route to Eugene,
OR. The shipper's declaration attached to the top of the carrier was not filled in appropriately. Whereas the shipper
and consignee's name and contact info were filled out, the section that has the time the animal was last offered food
and water, and instructions regarding feeding and watering was left blank.
Failure to ensure that the shipper provides certification in writing regarding feeding and watering instructions at the
time of accepting a dog or cat for shipment can put the animal at risk. The airline must ensure that the owner has
provided this information in writing, and that animals are adequately cared for while in transit.
This inspection and exit interview were conducted with the United representative at the cargo office.",True,True
794,8739edeb7a31bb9f,2.78(c),,False,HEALTH CERTIFICATION AND IDENTIFICATION.,"On 7/15/2017 a dog was sent from Cincinnati airport to Greensboro (GSO) with no health certificate. Air waybill
#:016-50782071.
On 7/25/2017 a dog was sent from Cincinnati airport to Minneapolis (MSP) with no health certificate. Air waybill
#:016-50825132.
On 7/26/2017 a dog was sent from Cincinnati airport to Jacksonville (JAX) with no health certificate. Air waybill
#:016-51097292.
On 7/25/2017 a dog was sent from Cincinnati airport (CVG) to San Francisco (SFO) with no health certificate. Air
waybill #:016-50812963.
On 8/19/2017 a dog was sent from Cincinnati airport to Denver (DEN) with no health certificate. Air waybill
#:016-50862033.
Health certificates are required to prove that a veterinarian has found the dog fit to travel and is not carrying an
infectious disease. All dogs accepted for travel must be accompanied by a health certificate.
No intermediate handler or carrier to whom any live dog, cat, or nonhuman primate is delivered for transportation,
shall receive a live dog, cat, or nonhuman primate for transportation, in commerce, unless and until it is
accompanied by a health certificate issued by a licensed veterinarian.
Correct by: from now forward.
Inspection and exit interview conducted with the supervisor.",True,True
795,056beff16430146d,3.13(c)(3),,True,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"At the time of inspection around noon on 11/1/17 at the SFO United Airlines Cargo Office there were two dogs and
two cats in four separate crates. There were problems with three of these shipments:
One dog on waybill # 016-SFO-30890156 headed to Fort Lauderdale on UA Flight 1094: The consignor did not
provide any instructions for feeding and watering during transit.
One cat on waybill # 016-SFO-45632996 headed to Honolulu on UA Flight 300: Regarding instructions for feeding
and watering during transit, the consignor filled in the time and date for feeding and watering with the ""null"" symbol.
Additionally, although the consignor’s certification was signed by the consignor at ""9:30"" on ""11/1/17"", it stated that
the cat had last been offered food and water on ""31/10/17"" at ""12:00"" - suggesting either 9.5 or 21.5 hours prior to
leaving the cat with the transporter.
One dog on baggage tag # 5-16-254498, that had originated from Spokane, and was headed to Frankfurt via UA
Flights 58 and 1602: The consignor did not provide any instructions for feeding and watering during transit, nor did
they indicate the last time the animal was offered food and water.
Upon accepting an animal for transport, the carrier must ensure that the consignor has provided the required
information regarding feeding and watering, specifically there must be a certification from the consignor in writing
that the dog or cat was offered food and water during the 4 hours before delivery to the carrier, to include the time
and date the animal was last fed and watered and the specific instructions for the next feeding(s) and watering(s) for
a 24-hour period. This certification must be securely attached to the outside of the primary enclosure in a manner
that makes it easily noticed and read. Instructions for no food or water are not acceptable unless directed by the
attending veterinarian, in which case this should be clearly visible on the certification.
Failure to ensure that this information is collected and attached to the carrier could be detrimental to the health and
well-being of the animals while in transit.
This inspection and exit interview were conducted with facility representatives in the United Cargo Office.",True,True
797,acf293d7a0de779f,2.126(b),,False,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 10:00 am on
03-May-18.
This company does not fly at this time from this airport.",True,True
814,d6cca298679b71bf,2.33(b)(4),Direct,False,ATTENDING VETERINARIAN AND ADEQUATE VETERINARY CARE.,"Section 2.33(b)(4) Veterinary Care: The surgery records of three sheep on the ongoing protocol 14-004
documented signs of pain that were not appropriately addressed by the surgery personal of the principal
investigator.
Sheep B3379 had thoracic surgery that included several administrations of a paralytic drug on 6/11/14. During
the cardiac bypass there was a notation that the animal was kicking. A paralytic was administered with the
analgesic and increase in the anesthetic agent. As stated in the protocol the analgesia and anesthetic should be
allowed to bring the animal to plane III anesthesia before the administration or re-administration of a paralytic to
ensure the animal is not experiencing pain during the surgical procedure.
Sheep B3382 had thoracic surgery that included several administrations of a paralytic drug on 6/11/14. Both the
heart rate and the blood pressure increased after the cardiac bypass and remained at that level until the end of the
surgery, about 45 minutes. The heart rate increased from an average of 73 to 106 and the blood pressure
increased from an average of 79/50 to 102/76. During the 45 minute period with the elevated heart rate and blood
pressure the gas anesthetic was decreased from 2% to 1% for the last 30 minutes. No additional analgesics were
administered during this 45 minute period. An additional dose of paralytic drug had been given during the cardiac
bypass so the sheep would have been under the influence of the paralytic. Pain was then not appropriately
addressed in this sheep, the sheep should have received an agent for pain relief which would lead to a decrease
the heart rate and blood pressure.
Sheep B3386 had thoracic surgery that included several administrations of a paralytic drug on 6/13/14. After the
incision the average heart rate increased from 92 to 144 and the average blood pressure increased from 83/61 to
119/101. An analgesic was given to decrease the pain and the resulting high blood pressure. Five minutes later
the heart rate was 149 and the blood pressure 112/91. Metoprolol (not an analgesic or anesthetic) was given to
decrease the high heart rate and blood pressure. The use of Metoprolol was not included in the protocol. Eight
minutes later the heart rate was 103 and the blood pressure was 106/79 and an additional dose of the paralytic drug
was administered. The cardiac bypass was initiated four minutes later. As the protocol indicates, an increase in
heart rate and blood pressure indicates perception of pain by the animal. The increase in heart rate and blood
pressure were considered signs that the sheep was experiencing pain. Giving a drug that affects heart rate and
blood pressure prevents these parameters from being used to monitor pain when paralytics are used. The sheep
did not have its pain addressed before additional paralytic was given.
Paralytic agents prevent the animal from moving even if it experiences pain. Heart rate and blood pressure often
increase when animals experience pain and are therefore used to evaluate the depth of anesthesia in lieu of muscle
responses such as eye twitch. When heart rate and blood pressure rise during anesthesia, additional pain relieving
(analgesic) and/or anesthetic agent are necessary to assure the animal is not experiencing pain. This is especially
important in animals that are unable to respond due to a paralytic agent. Based on the examples above, the
veterinary guidance on use of paralytics to include monitoring with appropriate response does not appear to be
adequate as required by the Animal Welfare Act Regulations. Each research facility veterinarian must provide
guidance on appropriate monitoring and subsequent treatment by personnel involved in handling, immobilization,
anesthesia, analgesia, tranquilization and euthanasia. This assures the least pain and distress is felt by the animals.
Correct for all future surgeries.
An exit briefing was conducted with the facility Vice President and facility Veterinarian.
Additional Inspectors
Miller Dana, Supervisory Animal Care Specialist
Geib Mary, Veterinary Medical Officer",True,True
832,7320bd44d7e1040c,2.126(b),,False,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 10:00 am on
03-May-18.
This company does not fly at this time from this airport.",True,True
890,5b6b33223d99c236,3.14(a)(6),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE DOGS AND CATS.,"At the time of this inspection one dog had just come into Bradley Airport from Palm Beach Airport (FL). There were
2 Live Animal labels on the top of the enclosure and arrow labels on the side. However, there also needs to be a
Live Animal label that is 1 inch in height, on one or more of the sides of a transport enclosure. This issue will need
to be addressed on all subsequent animal shipments.",True,True
891,5b6b33223d99c236,3.16(c),,False,FOOD AND WATER REQUIREMENTS.,"At the time of this inspection one dog had just come into Bradley Airport from Palm Beach Airport (FL). The
transport enclosure contained one receptacle. Each transport enclosure must contain a food and a water
receptacle. Measures will need to be taken to ensure that each animal transport enclosure is compliant with the
USDA Animal Welfare Act.
The airway bill # for this shipment is 006-61901453.
An exit interview was conducted with a representative of the registrant.
Additional Inspectors
Der Christina, Veterinary Medical Officer",True,True
894,84f303b84ed50f36,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"Three dogs had just arrived at the Delta cargo office, on JFK origin Delta flight # 434, on waybill # 066-62360922.
The consignor's feeding and watering instructions, applied to each crate, and not been filled out. Neither feeding
and watering instructions, nor the time and date the animals were last offered food and water, was provided.
The airline must assure that, upon taking possession of the animals at the point of origin, all pertinent and required
information has been provided by the consignor, including the time last offered food and water, and what the
feeding and watering instructions are during transit. Failure to provide this information could put the welfare of the
animals at risk.
To be corrected from this time forward at all sites.
This inspection and exit interview were conducted with a representative at the Delta cargo office.",True,True
895,6e062a2fc051d7cc,3.13(c),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"""Echo"" a 15 week old Mini Australian Shepard arrived SAN on Delta flight 1792 connecting from ATL and originated
from Columbus, MS on Delta flight 5372, on waybill #006 GTR 66087744. Echo's crate did not have a consignor's
declaration stating when the dog was last offered food and water, and instructions for feeding and watering during
transport. Failure to complete a written consignor's certification regarding feeding and watering could have a
negative impact on the well-being of the animal. The airline should ensure that complete information is provided on
each crate, by the consignor, prior to taking possession of the animal.
To be corrected from this time forward.",True,True
896,6e062a2fc051d7cc,3.14(e)(1),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE DOGS AND CATS.,"""Echo"" a 15 week old Mini Australian Shepard arrived SAN on Delta flight 1792 connecting from ATL and originated
from Columbus, MS on Delta flight 5372, on waybill #006 GTR 66087744. Echo is approximately 24 inches from
nose to base of tail and approximately 20 inches tall at the head when standing. The small airline compliant travel
crate Echo was in was only approximately 17 inches long, 13 inches tall and 12 inches wide for internal dimensions.
Echo was too big for the 100 series airline compliant primary enclosure. While standing, the dog's head was higher
than the crate, and the dog could not sit or lie comfortably in the crate. The length of the crate was also insufficient
for the length of the dog, and the water and food dishes loose inside the crate contributed to the lack of space.
Primary enclosures used to transport live dogs and cats must be large enough to ensure that each animal
contained in the primary enclosure has enough space to turn about normally while standing, to stand and sit erect,
and to lie in a natural position.
To be corrected from this time forward.",True,True
898,7a91dc43cd6c4a71,2.78(c),,False,HEALTH CERTIFICATION AND IDENTIFICATION.,"On 12/17/2017 a dog was sent from Cincinnati airport to Salt Lake City with no health certificate. Delta Air waybill
#:006-67637695.
Health certificates are required to prove that a veterinarian has found the dog fit to travel and is not carrying an
infectious disease. All dogs accepted for travel must be accompanied by a health certificate.
No intermediate handler or carrier to whom any live dog, cat, or nonhuman primate is delivered for transportation,
shall receive a live dog, cat, or nonhuman primate for transportation, in commerce, unless and until it is
accompanied by a health certificate issued by a licensed veterinarian.
Correct by: from now forward.",True,True
899,7a91dc43cd6c4a71,2.130,,False,MINIMUM AGE REQUIREMENTS.,"On 12/23/2016 1 dog was sent from Cincinnati airport (CVG) to Bozeman (BZN) Delta Air waybill #:006- 03992564
this dog was only 7 weeks old, by the Health Certificate #: SA-283383, of 12/21/2017 KY Department of Agriculture.
On 12/23/2016 1 dog was sent from Cincinnati airport (CVG) to Bangor (LGA) Delta Air waybill #:006- 03985074
this dog was only 7 weeks old, by the Health Certificate #: SA-283381, of 12/19/2016 KY Department of Agriculture.
On 08/3/2017 1 dog was sent from Cincinnati airport (CVG) to Denver (DEN) Delta Air waybill #:006- 74578604 this
dog was only 7 weeks old, by the Health Certificate #: SA-294881, of 8/2/2017 KY Department of Agriculture.
Puppies that are underage may not have fully developed immune systems nor have enough nutritional reserves to
maintain them through the transport period. Transport of underage puppies causes them undue physical and mental
stress and must not be done.
No dog or cat shall be transported in commerce by any person, unless such dog or cat is at least eight (8) weeks of
age and has been weaned.
Correct by: from now forward.
Inspection conducted with the supervisor.
Exit interview conducted with the station manager.",True,True
900,bef9dba7893705da,3.36(g),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE GUINEA PIGS AND HAMSTERS.,"Eight blue transport enclosures housing 15 guinea pigs in each had no markings on top and on one or more sides
with the words ""Live Animals"" in letters at least 1 inch in height, and with arrows or markings to indicate the correct
upright position of the container (see air waybill 006 PHL 8311 9816).
Carriers and intermediate handlers must not transport live animals unless the primary enclosure is clearly marked
on top and on more or more sides with the words ""Live Animals"" in letters a least 1 inch in height, and with arrows
or other markings to indicate the correct upright position. Failure to label primary enclosures properly can result in
animals being transported incorrectly and can put animals at risk for injury.
This inspection was conducted with the customer service agent and the exit interview was conducted with the
general manager.
Additional Inspectors
Carlson Melissa, Veterinary Medical Officer",True,True
901,6684bdba1e48aaee,3.36(g),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE GUINEA PIGS AND HAMSTERS.,"Approximately, 55 white transport enclosures housing hamsters and guinea pigs were not properly labeled. The
""Live Animal"" label on top of the transport enclosures were only 1/2 inch in height. The sides of the transport
enclosures were not marked with the words ""Live Animals"" and the enclosures did not have arrows or other
markings to indicate the correct upright position of the containers (see air waybill number 006 LAX 71436783).
Carriers and intermediate handlers must not transport live animals unless the primary enclosure is clearly marked
on top and on more or more sides with the words ""Live Animals"" in letters a least 1 inch in height, and with arrows
or other markings to indicate the correct upright position. Failure to label primary enclosures properly can result in
animals being transported incorrectly and can put animals at risk for injury.",True,True
902,6684bdba1e48aaee,3.137(e),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE ANIMALS.,"One white transport enclosures housing chinchillas was not properly labeled. The ""Live Animal"" label on top of the
transport enclosure was only 1/2 inch in height. The sides of the transport enclosure were not marked with the
words ""Live Animals"" and the enclosure did not have arrows or other markings to indicate the correct upright
position of the containers(see air waybill number 006 LAX 71436783).
Carriers and intermediate handlers must not transport live animals unless the primary enclosure is clearly marked
on top and on more or more sides with the words ""Live Animals"" in letters a least 1 inch in height, and with arrows
or other markings to indicate the correct upright position. Failure to label primary enclosures properly can result in
animals being transported incorrectly and can put animals at risk for injury.
This inspection and exit interview were conducted with the customer service agent.",True,True
903,824b8e80fbcebcc9,3.19(b),,False,HANDLING.,"On Mar 23, 2019, Delta airline personnel transferred a dog from the holding area on the ramp of the Atlanta airport
to an aircraft. Sometime during the loading process onto the aircraft, the animal was able to escape from its
enclosure. The animal was found three days later.
Airline personnel must ensure proper handling at all times during transport of animals to ensure their safety and
well-being.
A thorough exit interview was conducted with the Director of the Cargo Control Center by phone on 5-2-19.
Additional Inspectors
Lopinto John, Veterinary Medical Officer",True,True
905,cbc4f0453bf8a6c6,3.36(a)(6),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE GUINEA PIGS AND HAMSTERS.,"Transport enclosures housing hamsters and guinea pigs did have adequate rims or other devices on the exterior of
the outside walls to provide a minimum air circulation space of .75 inches. The lid of the transport enclosures only
provided .25 inches of ventilation space on the sides. Transport enclosures for hamsters and guinea pigs must have
projecting rims or other devices on the exterior of the outside walls which provide a minimum air circulation space of
.75 inches between the transport enclosure and any adjacent cargo wall.
Failure to provide a circulation space of at least .75 inches on the sides of transport enclosures could put animals at
risk of overheating or having reduced air circulation. Carriers and intermediate handlers must not transport animals
unless there are adequate projecting rims or other devices that provide at least .75 inches of air circulation on the
exterior of the outside walls of the animal transport container (see air waybill # 006 LAX 78985222).",True,True
906,cbc4f0453bf8a6c6,3.137(a)(5),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE ANIMALS.,"Transport enclosures housing chinchillas did have adequate rims or other devices on the exterior of the outside
walls to provide a minimum air circulation space of .75 inches. The lid of the transport enclosures only provided .25
inches of ventilation space on the sides. Transport enclosures for chinchillas must have projecting rims or other
devices on the exterior of the outside walls which provide a minimum air circulation space of .75 inches between the
transport enclosure and any adjacent cargo wall.
Failure to provide a circulation space of at least .75 inches on the sides of transport enclosures could put animals at
risk of overheating or having reduced air circulation. Carriers and intermediate handlers must not transport animals
unless there are adequate projecting rims or other devices that provide at least .75 inches of air circulation on the
exterior of the outside walls of the animal transport container (see air waybill # 006 LAX 78985222).
This inspection and exit interview were conducted with the supervisor.",True,True
